,date,state,death,cure,confirmed,suspected
1,121,China,NA,NA,278,NA
2,121,Korea,NA,NA,1,NA
3,121,Japan,NA,NA,1,NA
4,121,Thailand,NA,NA,2,NA
5,122,China,NA,NA,309,NA
6,122,Korea,NA,NA,1,NA
7,122,Japan,NA,NA,1,NA
8,122,Thailand,NA,NA,2,NA
9,123,China,17,NA,571,NA
10,123,Korea,NA,NA,1,NA
11,123,Japan,NA,NA,1,NA
12,123,Thailand,NA,NA,4,NA
13,123,USA,NA,NA,1,NA
14,124,China,25,NA,830,NA
15,124,Korea,NA,NA,2,NA
16,124,Japan,NA,NA,1,NA
17,124,Singapore,NA,NA,1,NA
18,124,Vietnam,NA,NA,2,NA
19,124,Thailand,NA,NA,4,NA
20,124,USA,NA,NA,1,NA
21,125,China,41,NA,1297,1965
22,125,Korea,NA,NA,2,NA
23,125,Japan,NA,NA,3,NA
24,125,Singapore,NA,NA,3,NA
25,125,Australia,NA,NA,3,NA
26,125,Vietnam,NA,NA,2,NA
27,125,Thailand,NA,NA,4,NA
28,125,Nepal,NA,NA,1,NA
29,125,USA,NA,NA,2,NA
30,125,France,NA,NA,3,NA
31,126,China,56,NA,1985,NA
32,126,Korea,NA,NA,2,NA
33,126,Japan,NA,NA,3,NA
34,126,Singapore,NA,NA,4,NA
35,126,Australia,NA,NA,4,NA
36,126,Malaysia,NA,NA,3,NA
37,126,Vietnam,NA,NA,2,NA
38,126,Thailand,NA,NA,5,NA
39,126,Nepal,NA,NA,1,NA
40,126,USA,NA,NA,2,NA
41,126,France,NA,NA,3,NA
42,127,China,80,NA,2761,5794
43,127,Korea,NA,NA,4,NA
44,127,Japan,NA,NA,4,NA
45,127,Singapore,NA,NA,4,NA
46,127,Australia,NA,NA,4,NA
47,127,Malaysia,NA,NA,4,NA
48,127,Vietnam,NA,NA,2,NA
49,127,Thailand,NA,NA,5,NA
50,127,Nepal,NA,NA,1,NA
51,127,USA,NA,NA,5,NA
52,127,Canada,NA,NA,1,NA
53,127,France,NA,NA,3,NA
54,128,China,106,NA,4537,6973
55,128,Korea,NA,NA,4,NA
56,128,Japan,NA,NA,6,NA
57,128,Singapore,NA,NA,7,NA
58,128,Australia,NA,NA,5,NA
59,128,Malaysia,NA,NA,4,NA
60,128,Vietnam,NA,NA,2,NA
61,128,Cambodia,NA,NA,1,NA
62,128,Thailand,NA,NA,14,NA
63,128,Nepal,NA,NA,1,NA
64,128,Srilank,NA,NA,1,NA
65,128,USA,NA,NA,5,NA
66,128,Canada,NA,NA,2,NA
67,128,Germany,NA,NA,1,NA
68,128,France,NA,NA,3,NA
69,129,China,132,NA,5997,9239
70,129,Korea,NA,NA,4,NA
71,129,Japan,NA,NA,7,NA
72,129,Singapore,NA,NA,7,NA
73,129,Australia,NA,NA,7,NA
74,129,Malaysia,NA,NA,4,NA
75,129,Vietnam,NA,NA,2,NA
76,129,Cambodia,NA,NA,1,NA
77,129,Thailand,NA,NA,14,NA
78,129,Nepal,NA,NA,1,NA
79,129,Srilank,NA,NA,1,NA
80,129,USA,NA,NA,5,NA
81,129,Canada,NA,NA,3,NA
82,129,Germany,NA,NA,4,NA
83,129,France,NA,NA,4,NA
84,129,UAE,NA,NA,4,NA
85,130,China,170,NA,7736,12167
86,130,Korea,NA,NA,4,NA
87,130,Japan,NA,NA,11,NA
88,130,Singapore,NA,NA,10,NA
89,130,Australia,NA,NA,7,NA
90,130,Malaysia,NA,NA,7,NA
91,130,Vietnam,NA,NA,2,NA
92,130,Philippines,NA,NA,1,NA
93,130,Cambodia,NA,NA,1,NA
94,130,Thailand,NA,NA,14,NA
95,130,India,NA,NA,1,NA
96,130,Nepal,NA,NA,1,NA
97,130,Srilank,NA,NA,1,NA
98,130,USA,NA,NA,5,NA
99,130,Canada,NA,NA,3,NA
100,130,Germany,NA,NA,4,NA
101,130,France,NA,NA,5,NA
102,130,Finland,NA,NA,1,NA
103,130,UAE,NA,NA,4,NA
104,131,China,213,NA,9720,15238
105,131,Korea,NA,NA,11,NA
106,131,Japan,NA,NA,14,NA
107,131,Singapore,NA,NA,13,NA
108,131,Australia,NA,NA,9,NA
109,131,Malaysia,NA,NA,8,NA
110,131,Vietnam,NA,NA,5,NA
111,131,Philippines,NA,NA,1,NA
112,131,Cambodia,NA,NA,1,NA
113,131,Thailand,NA,NA,14,NA
114,131,India,NA,NA,1,NA
115,131,Nepal,NA,NA,1,NA
116,131,Srilank,NA,NA,1,NA
117,131,USA,NA,NA,6,NA
118,131,Canada,NA,NA,3,NA
119,131,Italy,NA,NA,2,NA
120,131,Germany,NA,NA,5,NA
121,131,France,NA,NA,6,NA
122,131,Finland,NA,NA,1,NA
123,131,UAE,NA,NA,4,NA
124,201,China,259,NA,11821,NA
125,201,Korea,NA,NA,12,NA
126,201,Japan,NA,NA,17,NA
127,201,Singapore,NA,NA,16,NA
128,201,Australia,NA,NA,12,NA
129,201,Malaysia,NA,NA,8,NA
130,201,Vietnam,NA,NA,6,NA
131,201,Philippines,NA,NA,1,NA
132,201,Cambodia,NA,NA,1,NA
133,201,Thailand,NA,NA,19,NA
134,201,India,NA,NA,1,NA
135,201,Nepal,NA,NA,1,NA
136,201,Srilank,NA,NA,1,NA
137,201,USA,NA,NA,7,NA
138,201,Canada,NA,NA,4,NA
139,201,Italy,NA,NA,2,NA
140,201,Germany,NA,NA,7,NA
141,201,France,NA,NA,6,NA
142,201,UK,NA,NA,2,NA
143,201,Russian.Federation,NA,NA,2,NA
144,201,Spain,NA,NA,1,NA
145,201,Finland,NA,NA,1,NA
146,201,Sweden,NA,NA,1,NA
147,201,UAE,NA,NA,4,NA
148,202,China,304,NA,14411,NA
149,202,Korea,NA,NA,15,NA
150,202,Japan,NA,NA,20,NA
151,202,Singapore,NA,NA,18,NA
152,202,Australia,NA,NA,12,NA
153,202,Malaysia,NA,NA,8,NA
154,202,Vietnam,NA,NA,7,NA
155,202,Philippines,NA,NA,2,NA
156,202,Cambodia,NA,NA,1,NA
157,202,Thailand,NA,NA,19,NA
158,202,India,NA,NA,2,NA
159,202,Nepal,NA,NA,1,NA
160,202,Srilank,NA,NA,1,NA
161,202,USA,NA,NA,8,NA
162,202,Canada,NA,NA,4,NA
163,202,Italy,NA,NA,2,NA
164,202,Germany,NA,NA,8,NA
165,202,France,NA,NA,6,NA
166,202,UK,NA,NA,2,NA
167,202,Russian.Federation,NA,NA,2,NA
168,202,Spain,NA,NA,1,NA
169,202,Finland,NA,NA,1,NA
170,202,Sweden,NA,NA,1,NA
171,202,UAE,NA,NA,5,NA
172,203,China,361,NA,17238,NA
173,203,Korea,0,NA,15,NA
174,203,Japan,0,NA,20,NA
175,203,Singapore,0,NA,18,NA
176,203,Australia,0,NA,12,NA
177,203,Malaysia,0,NA,8,NA
178,203,Vietnam,0,NA,8,NA
179,203,Philippines,1,NA,2,NA
180,203,Cambodia,0,NA,1,NA
181,203,Thailand,0,NA,19,NA
182,203,India,0,NA,3,NA
183,203,Nepal,0,NA,1,NA
184,203,Srilank,0,NA,1,NA
185,203,USA,0,NA,11,NA
186,203,Canada,0,NA,4,NA
187,203,Italy,0,NA,2,NA
188,203,Germany,0,NA,10,NA
189,203,France,0,NA,6,NA
190,203,UK,0,NA,2,NA
191,203,Russian.Federation,0,NA,2,NA
192,203,Spain,0,NA,1,NA
193,203,Finland,0,NA,1,NA
